Hospital,B15 2TH,B18 7QH,B4 6NH,B71 4HJ,B75 7RR,B9 5SS,B98 7UB,BA1 3NG,BA21 4AT,BB10 2PQ,BB2 3HH,BD20 6TD,BD9 6RJ,BH15 2JB,BH7 7DW,BL4 0JR,BL9 7TD,BN11 2DH,BN21 2UD,BN2 5BE,BR6 8ND,BS10 5NB,BS23 4TQ,BS2 8HW,CA2 7HY,CA28 8JG,CB2 0QQ,CH2 1UL,CH49 5PE,CM1 7ET,CM20 1QX,CO4 5JL,CR7 7YE,CT1 3NG,CT9 4AN,CV10 7DJ,CV2 2DX,CV34 5BW,CW1 4QJ,DA2 8DA,DE13 0RB,DE22 3NE,DH1 5TW,DL3 6HX,DN15 7BH,DN2 5LT,DN33 2BA,DT1 2JY,DY1 2HQ,E11 1NR,E1 1BB,E13 8SL,E9 6SR,EN5 3DJ,EX2 5DW,EX31 4JB,FY3 8NR,GL1 3NN,GU16 7UJ,GU2 7XX,HA1 3UJ,HG2 7SX,HP11 2TT,HP21 8AL,HR1 2ER,HU3 2JZ,HX3 0PW,IG3 8YB,IP33 2QZ,IP4 5PD,KT16 0PZ,KT18 7EG,KT2 7QB,L14 5AB,L35 5DR,L39 2JW,L7 8XP,L8 7SS,L9 7AL,LA14 4LF,LA1 4RP,LE1 5WW,LE3 9QP,LE5 4PW,LN2 5QY,LS1 3EX,LU4 0DZ,M13 0JH,M23 9LT,M6 8HD,M8 5RL,ME16 9QQ,ME7 5NY,MK42 9DJ,MK6 5LD,N18 1QX,N19 5NF,NE1 4LP,NE23 6NZ,NE34 0PL,NE63 9FL,NE7 7DN,NE9 6SX,NG17 4JL,NG5 1PB,NG7 2UH,NN1 5BD,NN16 8UZ,NR31 6LA,NR4 7UY,NW1 2BU,NW3 2QG,OL1 2JH,OL6 9RW,OX16 9AL,OX3 9DU,PE21 9QS,PE29 6NT,PE30 4ET,PE3 9GZ,PL6 8DH,PO19 6SE,PO30 5TG,PO6 3LY,PR2 9HT,PR8 6PN,RG1 5AN,RG24 9NA,RH1 5RH,RH16 4EX,RM7 0AG,S10 2JF,S44 5BL,S60 2UD,S75 2EP,S81 0BD,SE13 6LH,SE1 7EH,SE18 4QH,SE5 9RW,SG1 4AB,SK10 3BL,SK2 7JE,SL2 4HL,SM5 1AA,SN3 6BB,SO16 6YD,SO22 5DG,SP2 8BJ,SR4 7TP,SS0 0RY,SS16 5NL,ST16 3SA,ST4 6QG,SW10 9NH,SW17 0QT,SW3 6NP,SW6 6SX,SY3 8XQ,TA1 5DA,TF1 6TF,TN24 0LZ,TN2 4QJ,TN37 7RD,TQ2 7AA,TR1 3LQ,TS19 8PE,TS4 3BW,TW7 6AF,UB1 3HW,UB8 3NN,W12 0HS,W2 1NY,WA5 1QG,WC1N 3JH,WD18 0HB,WF13 4HS,WF1 4DG,WF8 1PL,WN1 2NN,WR5 1DD,WS2 9PS,WV10 0QP,YO12 6QL,YO31 8HE
B15 2TH,0,3.428658302,4.883223442,7.71137059,12.17457549,6.929808547,14.91443788,95.35698617,139.1243602,122.8511809,113.1808856,134.2350599,130.6217755,164.8963329,157.5441427,98.57715294,101.3504275,175.5737777,185.9522569,168.6155635,155.6501986,80.28259705,101.9252489,84.10012845,196.4120587,219.7392051,105.9872181,81.54475087,105.6016066,142.7253545,133.3555771,161.4741458,144.0991149,194.2169158,208.2079684,28.19641225,29.4627598,26.49860399,59.83811242,146.6531822,39.61418148,48.00085258,198.2883253,177.2507496,121.5698567,99.96740974,135.7076885,165.8972856,11.12420977,126.3397204,120.2607701,140.1991712,121.0413601,112.3613847,154.5512009,174.640186,126.5621442,49.92075842,123.1704408,127.0915771,109.585346,138.2725837,88.15993929,75.19440575,53.46102275,141.5300532,122.0018187,139.0984697,131.3892329,157.2286875,113.7412221,127.3528609,122.8061357,95.12082828,90.31287659,98.96240881,97.62883615,97.83130572,99.86198552,190.9948538,133.2561482,47.00319057,49.40497702,50.6972982,103.0665481,123.0697656,88.13698336,86.06948185,80.9269904,92.32596706,97.82348979,163.7231535,169.8741534,86.2403756,75.57578613,121.0312807,118.6221564,211.1579476,219.7130838,211.3493889,227.2027872,217.4494092,206.8126271,70.04291188,59.64792512,55.46930305,59.22373282,58.38342709,186.8773739,161.6188032,116.1281903,117.1432852,97.29037711,93.89454595,43.93621217,68.42173442,114.1641465,85.23443986,128.6844468,94.02289667,196.9957769,163.9012424,165.3900856,148.6332699,112.0846737,105.757125,109.2710922,110.1806666,135.3223238,156.2301877,138.2110065,90.065851,76.96220772,88.65178138,103.2782855,87.83171254,124.8257717,118.5843995,146.1965168,120.6667437,98.37931333,67.17260866,87.66085292,100.904847,133.3915167,80.20120425,132.9337567,120.4659518,118.7378433,206.0030631,154.1631702,144.6335268,29.95171367,44.70375942,115.9116732,133.5965785,115.9397379,117.3325237,51.14336372,126.1745556,37.10206423,184.4466982,160.4401546,193.3798819,173.8358768,251.3447126,181.798895,179.1247119,112.1685578,108.5804761,103.3269426,111.6813454,114.7276263,84.13691526,117.2617927,107.174152,117.5625278,113.9522155,111.2896167,91.69971237,24.08594791,12.0697913,16.67924541,166.8895687,139.8221393
B18 7QH,3.610748374,0,2.503233946,5.688496157,9.092965732,5.384611314,21.9076478,98.04019187,141.8075659,120.8283065,111.1580111,132.2121855,128.598901,175.4906383,168.1384481,96.5542785,99.32755305,186.1680831,196.5465623,180.2496845,166.2445039,82.96580275,104.6084546,86.78333415,194.3891843,217.7163307,102.9056083,79.41923145,103.5787322,139.6437447,130.2739673,158.3925361,154.6934203,186.29838,200.2894325,25.11480249,26.38115004,31.23581934,57.81523798,143.5715725,36.53257172,44.91924281,195.2067156,174.1691398,118.4882469,96.88579998,132.6260787,168.5804913,9.951205216,123.2581106,138.6250455,137.1175615,135.9376267,109.2797749,157.2344066,177.3233917,124.5392698,52.60396412,133.7647461,137.6858824,120.1796513,135.190974,98.75424467,85.78871113,56.14422845,138.4484434,119.9789443,136.0168599,128.3076232,154.1470778,124.3355274,137.9471663,133.4004411,93.09795385,88.29125563,96.93953438,95.60596172,95.80843129,97.83911108,188.9719794,131.1790269,43.92158081,46.32336726,47.61999771,99.9849383,119.9881559,85.0553736,84.04660742,78.90411596,90.30309262,95.80061536,174.3174589,160.2735756,83.15876584,72.49417637,117.949671,115.5405467,208.0763379,216.6314741,208.2677791,224.1211774,214.3677994,203.7310174,66.96130211,56.56631536,52.38769329,56.14212305,55.30181732,183.7957641,158.5371934,126.7224957,116.0235748,95.26750268,91.87167152,54.53051755,79.01603979,111.0825367,82.1528301,125.602837,90.94128691,199.6789826,174.4955478,175.984391,159.2275752,110.0617992,103.7342506,119.8653976,120.774972,145.9166292,166.8244931,135.1293968,86.98424124,73.88059795,85.57017162,100.1966758,84.75010278,144.3320096,128.9104139,143.114907,131.2610491,95.29770357,65.14973422,85.63797848,109.7862929,143.9858221,82.88440995,143.5280621,131.0602571,121.421049,202.9214534,151.0815604,141.5519171,27.92883924,42.68088498,126.5059786,144.1908839,126.572606,127.9268291,49.12048928,128.8577613,35.0791898,195.0410036,171.03446,203.9741873,176.5190825,254.0279183,178.7172853,176.0431022,122.7628632,119.4377058,113.921248,122.2756508,125.3219317,82.11404083,127.8560981,104.0925422,114.4018718,110.8706057,108.2080069,89.67683794,26.7691536,10.04691686,14.65637098,165.3748059,136.7405295
B4 6NH,3.70800548,1.948894028,0,10.41589936,7.978369814,4.037171216,17.89068699,99.18602139,142.9533955,122.5927648,112.9224694,133.9766438,128.4632949,174.3760424,167.0238521,98.31873683,101.0920114,185.0534871,195.4319664,179.1350885,165.129908,84.11163227,105.7542841,87.92916368,196.1536426,219.5696682,101.7910124,81.28633476,105.3431905,138.5329155,122.2136515,157.2779401,153.5788244,185.183784,199.1748366,24.00020657,25.26655412,30.12122343,59.57969631,142.4569766,35.4179758,43.8046469,194.0921197,173.0545439,117.373651,95.77120406,131.5114828,169.7263208,11.35819708,122.1435147,137.5104496,136.0029655,134.8230308,108.165179,158.3802361,178.4692213,126.2017782,53.74979364,132.6501502,136.5712865,119.0650554,134.0763781,97.63964876,84.67411521,57.29005797,137.3338475,121.7434026,134.902264,127.1930272,153.0042758,123.2209315,136.8325704,132.2858451,94.86241217,90.05446048,98.7039927,97.37042004,97.57288961,99.60356941,190.7364377,129.0621085,42.80698489,45.20877134,46.50109251,98.87034238,118.87356,83.94077768,85.81106574,80.66857429,92.06755095,97.56507368,173.202863,159.1589797,82.04416992,71.37958045,116.8350751,114.4259508,206.961742,215.5168782,207.1531832,223.0065815,213.2532035,202.6164215,65.8467062,55.45171944,51.27309737,55.02752714,54.18722141,182.6811682,157.4225975,125.6078998,114.7447277,97.031961,93.63612984,53.41592163,77.90144388,109.9679408,81.03823418,124.4882411,89.82669099,200.8248121,173.3809519,174.869795,158.1129793,111.8262576,105.4987089,118.7508017,119.6603761,144.8020333,165.7098972,134.0148009,85.86964532,72.76600204,84.4555757,99.08207984,83.63550686,143.2620396,128.0388613,142.0003111,130.1464531,94.18310765,66.91419255,87.40243681,110.3845564,142.8712262,84.03023947,142.4134662,129.9456612,147.7476632,201.8068574,149.9669645,140.4373212,29.69329756,44.44534331,125.3913827,143.0762879,125.4194474,126.8122331,50.88494761,130.0035908,36.84364812,193.9264077,169.9198641,202.8595914,177.8926353,255.1737478,177.6026893,174.9285062,121.6482672,118.0601855,112.8066521,121.1610549,124.2073358,83.87849915,126.7415022,102.9779463,113.2872759,109.7560098,107.093411,91.44129627,27.91498313,11.81137519,16.42082931,164.2602099,135.6259336
B71 4HJ,7.001075135,5.23612941,12.07520182,0,9.425455442,14.02933813,23.81653752,99.94908159,143.7164556,116.2358885,108.9184106,129.972585,126.3593005,174.7828755,167.4306853,94.314678,97.08795255,189.8210817,200.199561,182.8628675,169.8975026,84.87469247,106.5173443,88.69222387,192.1495838,215.4767302,108.7510385,77.28227594,101.3391317,145.4929416,136.1193975,164.2379662,158.346419,192.1438101,206.7842529,30.96023265,32.2265802,40.74590805,55.57563748,149.4170026,27.68476034,36.07143144,186.5111918,165.4736161,109.7927232,88.19027624,138.4715089,170.489381,7.250765596,129.1035408,134.4071654,142.9629916,141.7830568,115.1252051,159.1432963,179.2322814,122.2996693,54.51285384,137.4177448,141.3388811,123.83265,126.4954502,102.4072434,89.44170982,58.05311817,129.7529197,117.7393438,140.6874363,134.1530533,159.9925079,127.9885261,141.600165,137.0534397,90.85835335,86.05040166,94.69993388,93.36636122,93.56883079,95.59951059,175.8259989,128.9394264,49.76701097,52.16879742,53.46111859,105.8303685,111.2926321,90.90080376,81.80700692,76.66451546,88.06349212,93.56101486,177.9704576,166.1190057,89.004196,78.33960653,123.7951011,121.3859768,199.3808141,207.9359503,199.5722554,215.4256537,205.6722757,195.0354936,58.21309655,62.41174552,58.23312345,61.98755322,61.14724749,189.6411943,164.3826236,130.3754944,121.8690049,93.02790218,89.63207102,58.18351624,82.66903848,116.9279669,87.99826026,131.4482672,96.78671707,201.5878723,173.787785,175.2766282,158.5198125,107.8221987,101.4946501,123.5183963,124.4279707,149.5696279,170.4774918,140.9748269,78.2887175,65.18507422,76.87464788,91.50115202,76.05457904,150.1774397,132.8317035,148.9603372,134.9140477,101.1431337,62.91013372,83.39837799,115.152151,147.6388208,84.79329967,142.8202994,130.3524944,123.3299388,194.2259296,156.9269906,147.3973472,25.68923874,40.44128448,130.1589773,147.8438826,130.2256047,131.5798278,46.88088878,130.766651,32.8395893,198.6940023,174.6874587,207.627186,178.4279722,255.936808,170.0217615,167.3475784,126.4158618,122.8277801,117.5742467,125.9286495,128.9749304,79.87444033,131.5090968,109.9379724,105.7853943,102.175082,99.51248319,87.43723744,28.67804332,7.807316364,9.448418181,155.1124352,128.0450058
B75 7RR,11.37989023,9.131051983,7.743122007,9.945495488,0,7.942724707,31.84741599,117.6401716,161.8435573,123.1522001,113.4819048,134.5360791,114.9637547,174.5126749,167.1604846,98.87817213,101.6514467,185.1901196,195.5685989,179.271721,165.2665405,103.0017941,124.644446,106.8193255,196.7130779,220.0402243,101.9699006,81.84577007,105.9026258,138.708037,129.3382595,157.4568283,153.7154569,185.3626722,199.3537247,24.17909473,25.44544227,36.11494595,60.13913161,142.6358647,21.76614793,30.15281902,180.5925794,159.5550037,103.8741108,82.27166383,130.0912895,192.4389008,19.63060483,122.3224028,137.6893377,136.1818537,135.0019189,108.3440671,177.2703979,197.3593831,126.873642,72.6399555,132.7867827,136.707919,119.2016879,120.5768378,97.77628125,84.81074771,76.18021983,123.8343073,122.3028379,133.9062984,127.3719154,153.21137,123.357564,136.9692029,132.4224776,95.42184748,90.61514926,99.26342801,97.92985535,98.13232492,100.1630047,191.295873,133.5029206,42.98587305,45.3876595,46.67998067,84.65202754,105.3740197,84.11966584,86.37050105,81.22800959,92.62698625,98.12450899,173.3394955,159.3378678,82.22305807,71.55846861,117.0139632,114.6048389,193.4622017,202.0173379,193.653643,209.5070413,199.7536633,189.1168812,52.29448414,49.50875796,45.33013589,55.20641529,54.36610956,182.8600564,157.6014857,125.7445323,114.9236159,97.59139631,94.19556515,53.55255413,78.03807638,97.77819786,81.21712234,124.6671293,90.00557915,219.714974,173.5175844,175.0064275,158.2496118,112.3856929,106.0581442,118.8874342,119.7970086,144.9386658,165.8465297,134.193689,72.37010509,59.2664618,70.95603547,85.58253961,70.13596663,143.4409277,128.2007414,142.1791993,130.2830856,94.36199581,67.47362785,87.96187211,110.5211889,143.0078587,102.9204013,142.5500987,130.0822937,147.8842957,188.3073172,150.1458527,140.6162093,30.25273287,45.00477861,125.5280152,143.2129204,125.5946426,126.9488656,54.23022206,148.8937527,40.18892258,194.0630402,170.0564966,202.9962239,196.5550739,274.0639096,164.1031491,161.428966,121.7848997,118.4597424,112.9432846,121.2976874,124.3439683,84.43793446,126.9092313,103.1568345,99.78773566,96.25646959,94.04727005,92.00073157,46.80514499,10.09583484,24.15843671,150.7606697,122.1263934
B9 5SS,6.516830279,5.130552987,3.767260231,11.64184432,8.599051075,0,18.03490402,102.0306781,145.7980522,123.8187098,114.1484144,135.2025888,125.6951156,165.7366153,158.384425,99.54468178,102.3179563,176.41406,186.7925393,170.4956614,156.4904809,86.95628898,108.5989408,90.77382039,197.3795876,220.7956131,99.02283307,82.51227972,106.5691355,135.7609695,119.4454722,154.5097608,144.9393972,182.4156047,197.0560475,21.23202725,22.4983748,24.62479732,60.80564126,139.6887972,29.41535846,37.80202956,191.3239403,170.2863646,114.6054717,93.00302474,128.7433035,172.5709776,19.99021149,119.3753354,134.7422702,133.2347862,132.0548514,105.3969997,161.2248928,181.313878,127.5296731,56.59445035,124.0107231,127.9318594,110.4256283,131.3081987,89.00022161,76.03468807,60.13471469,134.5656682,122.9693476,132.1340847,124.4248479,150.2643025,114.5815044,128.1931433,123.646418,96.08835713,91.28040544,99.92993766,98.596365,98.79883457,100.8295144,191.9623827,134.1694302,40.03880557,42.44059202,43.73291319,96.10216306,116.1227039,81.17259836,87.0370107,81.89451924,93.2934959,98.79101864,164.5634358,156.3908003,79.2759906,68.61140113,114.0668957,111.6577714,204.1935626,212.7486988,204.3850039,220.2384022,210.4850242,199.8482421,63.07852687,52.68354012,48.50491805,52.25934782,51.41904209,179.9129889,154.6544182,116.9684726,111.9765484,98.25790596,94.8620748,44.77649449,69.26201673,107.1997615,78.27005486,121.7200618,87.05851167,203.6694688,164.7415247,166.2303679,149.4735522,113.0522025,106.7246539,110.1113746,111.0209489,136.1626061,157.07047,131.2466215,83.101466,69.99782271,81.68739638,96.31390052,80.86732754,140.6423454,119.4246818,139.2321318,121.507026,91.41492833,68.1401375,88.62838177,101.7451293,134.231799,86.87489618,133.7740391,121.3062341,139.108236,199.0386781,147.1987852,137.6691418,30.91924252,45.67128826,116.7519556,134.8040902,116.8185829,118.172806,52.11089256,132.8482475,38.06959308,185.2869806,161.2804369,194.2201642,180.5095687,258.0184045,174.83451,172.1603269,113.0088401,109.6836828,104.1672249,112.5216277,115.5679086,85.10444411,118.1331716,100.209767,110.5981428,106.9878305,104.3252317,92.66724122,30.75963984,13.03732014,17.64677426,159.9251837,132.8577543
B98 7UB,14.86867776,21.73115665,17.83334616,23.81897485,30.34148994,18.29450976,0,91.80827915,135.5756532,138.9326452,129.2623498,150.3165242,142.6418227,163.0070016,155.6548113,114.6586172,117.4318917,173.6844463,184.0629256,167.7660477,153.7608672,76.73389002,98.37654187,80.55142143,212.493523,235.8206694,113.0304254,97.52357015,121.6830709,149.7723285,142.3202805,168.5173531,142.2262893,192.3275844,206.318637,35.23961958,36.50596712,17.29913382,75.91957668,157.1285419,49.59650352,57.98317462,208.2706474,187.2330716,131.5521787,109.9497318,142.7508958,162.3485786,24.92725518,125.3202474,118.2705299,149.1638746,119.1520287,121.3260881,151.0024938,171.091479,142.5416586,46.3720514,121.2811094,125.2022457,107.6960146,148.2549058,86.27060792,73.30507437,49.91231573,151.5123753,138.083283,148.0631731,138.4324402,164.2718949,111.8518907,125.4635296,120.9168043,111.2022925,106.3943409,115.0438731,113.7103004,113.91277,115.9434498,196.1699381,149.2833656,54.04639789,56.44818434,57.7448148,110.1097554,133.0520877,90.91123229,102.1509461,97.00845466,108.4074313,113.9049541,161.8338221,167.9848221,89.01462453,72.31653575,120.0118078,117.6026835,221.1402697,229.6954059,221.3317109,237.1851092,227.4317312,216.7949492,80.02523392,69.63024717,65.4516251,61.99798175,65.42663441,193.9205812,168.6620105,114.2388589,115.2539538,113.3718414,109.9760102,42.0468808,66.53240304,121.2073538,92.27764719,135.7276541,101.066104,193.4470699,162.011911,163.5007542,146.7439385,128.1661379,121.8385893,107.3817609,108.2913352,133.4329924,154.3408563,147.17571,100.048173,86.94452976,98.63410342,113.2606076,97.81403458,122.8785373,116.6698205,155.1612202,118.7774123,101.1535623,83.25407293,103.7423172,99.01551559,131.5021853,76.65249722,131.0444254,118.5766204,115.1891363,215.9853852,163.1278736,153.5982303,46.03317794,60.78522368,114.0223419,131.7072471,114.0889692,115.4431923,67.22482798,122.6258486,53.1835285,182.5573669,158.5508232,191.4905505,170.514893,247.7960055,191.7812171,189.107034,110.2792264,106.9540691,101.4376112,109.7920141,112.8382949,100.2183795,115.4035579,107.6272078,127.5448498,123.9345375,121.725338,107.7811766,20.53724088,28.15125556,32.76070968,176.8718907,149.8044613
BA1 3NG,95.31142563,98.14030961,100.0051916,100.2281278,109.259908,104.3168132,92.30855322,0,40.7234085,215.3417982,205.6715028,226.7256771,223.1123927,62.75147136,66.95159981,191.0677702,193.8410447,118.90063,172.6865371,156.3896593,142.3844787,21.04872085,46.26630807,12.33597235,288.9026759,312.2298223,162.0737137,174.0353681,198.0922238,165.4366489,149.0261557,189.3664215,130.8333951,180.951196,194.9422485,121.216163,122.4825105,95.75045603,152.3287296,145.7521535,135.5730469,143.959718,294.2471908,273.209615,217.5287221,195.9337968,228.7274392,60.69119713,101.3364081,127.4015444,118.2208527,155.8697499,120.2565489,128.0319633,98.89226004,118.9812452,219.06324,47.78260785,92.10867608,104.4960514,109.3337266,234.2314492,97.86490972,96.98226812,77.71719042,237.4889187,214.492436,154.7690483,203.3617819,208.1506307,100.4755022,114.0871411,109.4599156,187.6114455,182.8034938,191.453026,190.1194534,190.3219229,192.3526027,283.4854711,225.7467655,140.0229413,142.4247277,143.7170489,196.0862988,219.0459544,130.2235482,178.5600991,173.4176076,184.8165843,190.314107,150.4574337,156.6084336,119.2865045,103.6584691,122.0931048,119.6839804,307.1168131,315.6719493,307.3082543,323.1616526,313.4082746,302.7714926,166.0017773,155.6067906,151.4281685,111.3760095,125.7185073,258.8499229,233.5913522,115.3433791,117.3352508,189.7809943,186.3851632,94.31469789,74.24292122,198.4360491,146.7688995,199.320605,164.6590549,141.3368361,98.31064663,84.81558924,83.04267408,204.5752909,198.2477423,77.55299375,77.02071772,122.056604,142.9644679,153.8815852,186.0247165,172.9210732,184.6106468,199.237151,183.790578,122.1675421,115.0976669,151.1864904,117.2697841,138.2148619,159.6632259,180.1514701,95.20124975,120.1257969,39.42548395,64.57991207,83.39123497,44.6407425,301.9619286,169.8337489,160.3041055,122.4423309,137.1943766,112.1822279,120.3308587,112.5208887,111.6905873,143.6339809,70.51561476,129.5926815,171.1809784,147.1744348,180.1141621,118.4046592,195.6857717,277.7577605,275.0835774,106.5266214,105.3868327,101.6266804,110.4441968,113.9428151,176.6275325,116.5080781,114.2464942,213.442347,209.9110809,207.2484821,184.1903296,73.48427813,104.5604085,109.1698626,262.8484341,235.7810047
BA21 4AT,137.2183372,140.0472212,141.9121032,142.1350394,151.1668196,146.2237248,134.2154648,41.2088989,0,257.2487098,247.5784144,268.6325888,265.0193043,44.6569733,49.76409547,232.9746818,235.7479563,118.5889899,149.4560684,130.8141287,150.9681313,62.38572697,39.26560941,42.94639286,330.8095876,352.9476839,177.1238182,215.9422797,239.9991355,180.4867533,164.0762602,204.4165259,139.4170477,189.5348486,203.5259011,163.1230746,164.3894221,147.6841033,194.2356413,154.3358061,177.4799585,185.8666296,336.1541024,315.1165266,259.4356338,237.8331868,270.6343508,20.98973898,143.2433198,147.3554207,133.1858285,170.9198544,135.2114056,143.0820678,47.74630535,76.81459738,260.9596731,89.68951947,95.29487721,107.6822525,124.2885832,276.1383608,118.9799487,128.1478382,113.2674257,279.3958303,256.3993476,169.8191528,218.4118864,223.2007351,109.0591548,122.6707937,118.0435682,229.5183571,224.7104054,233.3599377,232.026365,232.2288346,234.2595144,325.3923827,263.7180534,181.9298529,184.3316394,185.6239605,237.9932104,260.9355427,145.2736527,220.4670107,215.3245192,226.7234959,232.2210186,159.0410863,165.1920862,166.6555425,139.2527788,142.0469811,139.1992291,349.0237247,357.5788609,349.2151659,365.0685642,355.3151863,344.6784042,207.9086889,197.5137022,193.3350801,146.9703192,161.312817,273.9000273,248.6414566,130.2982358,137.2891271,231.6987722,228.2920748,129.9090076,109.8372309,240.5836507,187.3364379,226.296448,206.8066565,90.1650764,97.99900646,81.42650176,82.73103391,246.4822025,240.1546539,98.66803269,83.01547577,130.6402566,151.5481205,168.9316897,227.9316281,214.8279848,226.5175584,241.1440626,225.6974896,160.3434573,130.027276,159.770143,132.2246408,153.2649664,201.5701375,222.0583818,118.7444033,128.7094495,77.29258298,64.2682719,75.1187452,49.35712584,343.8688402,179.8309042,169.0285314,164.3492425,179.1012883,127.1370846,128.9145112,127.4757454,126.645444,185.5408926,28.34167156,171.4995931,179.764631,155.7580874,188.6978147,67.00517631,144.5140121,319.6646721,316.990489,117.7602568,120.3416894,116.5815371,125.24495,128.8976717,218.5344441,131.4629347,129.2965986,255.4283048,251.8179926,249.608793,226.0972412,115.3911897,146.4673201,151.0767743,304.7553457,277.6879164
BB10 2PQ,127.2070175,125.4420718,127.2712,120.8861401,127.7663797,129.2253364,143.9792027,220.1117468,263.8791208,0,16.02048259,15.77395003,23.87736177,297.042007,289.6898168,40.71049129,24.54006541,307.7194518,318.097931,301.8010532,287.7958727,205.0373576,226.6800095,208.854889,116.9164682,140.2436146,224.4992327,77.37859175,65.02863517,261.2411358,244.9218718,279.9899272,276.244789,307.8920043,321.8830569,146.7084269,147.9747744,158.6442781,74.03516071,265.1651969,114.8279379,117.6600172,101.5995348,80.56195907,109.5720031,89.6650225,135.7891819,290.6520462,125.980122,244.851735,260.2186699,258.7111858,257.5312511,230.8733993,279.3059615,299.3949466,46.96460382,174.675519,255.3161149,259.2372512,241.7310201,39.63883521,220.3056134,207.3400799,178.2157833,116.3557523,23.01945736,257.6104843,249.9012475,275.7407022,245.8868962,259.498535,254.9518098,58.88020936,51.90970438,47.18575571,56.95083686,64.13774828,54.02712822,111.4992633,53.70631086,149.6267014,143.8875813,153.320809,129.2284114,63.40402504,206.648998,34.86464814,47.83457886,36.08573409,29.90532311,295.8688276,281.8672,204.7523902,194.0878008,239.5432954,237.1341711,114.4691571,123.0000755,114.6255715,130.4897788,120.7364008,110.1238366,99.24063719,111.8647406,113.018901,177.7357474,176.8954417,262.1570128,234.7923581,248.2738644,237.452948,34.45190012,36.64778788,176.0818863,200.5674085,166.4444214,203.7464545,196.9097321,180.0244852,321.7505375,296.0469165,297.5357597,280.778944,32.58908315,44.64239372,241.4167664,242.3263407,267.4679979,288.3758618,256.7230212,68.3557662,82.04704159,77.12880525,68.35561657,104.2387086,265.9256339,250.7300736,264.7085314,252.8124178,216.891328,56.65452734,42.92566032,233.0505211,265.5371908,204.9559648,265.0794308,252.6116259,243.4926039,108.6256499,272.6751848,263.1455415,101.1313141,85.44551858,248.0573474,265.7422526,248.085412,249.4781978,118.5266742,250.9293162,115.7456726,316.5923723,292.5858287,325.525556,298.5906374,376.0994731,89.98849922,87.31431611,244.3142319,240.9890745,235.4726167,243.8270195,246.8733004,50.41922489,249.4074668,225.6861666,56.17968944,67.83049683,73.42731255,37.85762087,148.8407085,116.7549955,116.0385627,131.7821187,62.12250956
